Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Venta_uni_hoy,Venta_hoy,Dev_uni_proxima,Dev_proxima,Demanda_uni_equil
3,1111,1,1015,65477,3631,1,16.35,0,0,1
3,1111,1,1216,74840,35651,3,22.5,0,0,3
3,1111,1,1402,2116885,35651,4,30,0,0,4
3,1111,1,1416,2070481,1242,6,45.84,0,0,6
3,1112,1,1001,327554,1129,12,211.2,0,0,12
3,1112,1,1013,331630,2233,13,259.22,0,0,13
3,1112,1,1021,1428289,48077,2,28.52,0,0,2
3,1112,1,1607,2234538,4259,10,125.9,0,0,10
3,1113,1,1013,73606,1125,18,172.8,0,0,18
3,1113,1,1212,4572636,48417,3,13.74,0,0,3
3,1113,1,2101,18142,32940,5,38.9,0,0,5
3,1116,1,1058,115577,46772,15,133.8,0,0,15
3,1116,1,1095,171221,1160,2,37.72,0,0,2
3,1116,1,1201,4572048,1238,1,9.83,0,0,1
3,1116,1,1213,2457900,972,1,18.98,0,0,1
3,1116,1,1402,23688,1238,9,88.47,0,0,9
3,1116,1,1452,949483,1240,25,209.5,0,0,25
3,1116,1,1461,2466972,48421,5,22.9,0,0,5
3,1116,1,1462,64863,1250,29,221.56,0,0,29
3,1116,1,1464,381877,1309,1,6.76,0,0,1
3,1116,1,1613,115504,4259,1,12.59,0,0,1
3,1116,1,1635,4648224,9217,7,63,0,0,7
3,1116,1,2135,109347,32937,8,56.32,0,0,8
3,1116,1,2801,110662,32873,5,31.25,0,0,5
3,1117,1,1046,1361623,2665,3,48,0,0,3
3,1117,1,1073,358612,3631,2,32.7,0,0,2
3,1117,1,1074,4498186,46772,5,44.6,10,89.2,0
3,1117,1,1276,1149936,1129,2,35.2,0,0,2
3,1117,1,1442,544626,41938,4,39.64,0,0,4
3,1117,1,1451,786171,1309,3,20.28,0,0,3
3,1117,1,1454,324821,972,3,56.94,0,0,3
3,1117,1,1465,1279798,1220,2,15.28,0,0,2
3,1117,1,1468,4536034,1284,11,33.22,0,0,11
3,1117,1,1483,65321,1212,8,67.04,0,0,8
3,1117,1,1486,2174157,1064,1,16.67,0,0,1
3,1117,1,1612,357108,37210,6,45.54,0,0,6
3,1118,1,1003,439210,1109,1,15.01,0,0,1
3,1118,1,1039,1670369,693,2,19.2,0,0,2
3,1118,1,1417,545514,31423,2,21.38,0,0,2
3,1118,1,1422,81495,35651,22,165,0,0,22
3,1118,1,1425,173990,1240,5,41.9,0,0,5
3,1118,1,1440,81616,1220,2,15.28,0,0,2
3,1119,1,1065,4288227,46772,5,44.6,0,0,5
3,1119,1,1073,990850,1146,4,85.56,0,0,4
3,1119,1,1087,1328623,1109,9,135.09,0,0,9
3,1119,1,1259,63316,35651,14,105,0,0,14
3,1119,1,1263,4515076,1064,1,16.67,0,0,1
3,1119,1,1401,317005,1216,6,50.28,0,0,6
3,1119,1,1454,1609683,1220,1,7.64,0,0,1
3,1119,1,1459,58092,1309,4,27.04,0,0,4
3,1119,1,1476,57658,1284,27,81.54,0,0,27
3,1119,1,1488,77427,1240,8,67.04,0,0,8
3,1119,1,1490,1261666,31423,2,21.38,0,0,2
3,1119,1,1490,4385455,1309,3,20.28,0,0,3
3,1120,1,1459,18716,1240,12,100.56,0,0,12
3,1120,1,1466,19022,972,1,18.98,0,0,1
3,1120,1,1478,1880067,1250,15,114.6,0,0,15
3,1120,1,1605,18151,35452,2,8.88,0,0,2
3,1120,1,1615,18639,30415,15,112.5,0,0,15
3,1120,1,1624,4358944,323,3,24.45,0,0,3
3,1120,1,2106,1263040,32934,1,7.04,0,0,1
3,1120,1,2112,176496,30532,15,116.7,0,0,15
3,1120,1,2115,371469,36745,3,34.59,0,0,3
3,1120,1,2121,4192482,36746,2,23.06,0,0,2
3,1121,1,1031,135419,1150,2,27.92,0,0,2
3,1121,1,1413,386736,1242,5,38.2,0,0,5
3,1121,1,1414,77438,3270,4,41.88,0,0,4
3,1121,1,1416,379175,1232,4,72.96,0,0,4
3,1121,1,1417,375797,1212,1,8.38,0,0,1
3,1121,1,1437,423431,1230,2,33.34,0,0,2
3,1121,1,1459,454740,1238,13,127.79,0,0,13
3,1121,1,2106,579603,31310,5,31.25,0,0,5
3,1121,1,2117,379149,43058,8,74.8,0,0,8
3,1122,1,1044,1972727,2233,6,119.64,0,0,6
3,1122,1,1056,1525728,1129,2,35.2,0,0,2
3,1122,1,1070,72420,1150,3,41.88,0,0,3
3,1122,1,1088,2229751,46772,2,17.84,0,0,2
3,1122,1,1447,1113590,1232,6,109.44,0,0,6
3,1122,1,1452,79952,1232,3,54.72,0,0,3
3,1122,1,1452,80433,1220,5,38.2,0,0,5
3,1122,1,1453,1932322,1220,2,15.28,0,0,2
3,1122,1,1471,79868,1220,9,68.76,0,0,9
3,1122,1,1474,22414,3270,2,20.94,0,0,2
3,1122,1,1484,531749,1250,10,76.4,0,0,10
3,1123,1,1006,201114,1146,1,21.39,0,0,1
3,1123,1,1021,1612869,31392,2,44.44,1,22.22,1
3,1123,1,1202,2130587,1284,10,30.2,0,0,10
3,1123,1,1214,2230509,3144,1,21.32,1,21.32,0
3,1123,1,1219,342332,1129,4,70.4,0,0,4
3,1123,1,1219,1251757,1250,8,61.12,0,0,8
3,1123,1,1238,1272494,1278,7,31.5,0,0,7
3,1123,1,1238,2456272,1125,3,28.8,0,0,3
3,1123,1,1240,944669,1220,1,7.64,0,0,1
3,1123,1,1247,4104815,1309,4,27.04,0,0,4
3,1123,1,1251,647271,1278,8,36,0,0,8
3,1123,1,1406,4557489,1284,10,30.2,0,0,10
3,1123,1,1408,204155,972,2,37.96,0,0,2
3,1123,1,1421,1251876,48417,4,18.32,0,0,4
3,1123,1,1421,4611091,31423,2,21.38,0,0,2
3,1123,1,1441,881963,35651,10,75,0,0,10
3,1123,1,4401,1413951,43064,1,8.15,0,0,1
3,1123,1,4418,4605234,43084,1,8.15,0,0,1
3,1124,1,1083,171559,1109,6,90.06,0,0,6
3,1124,1,1205,4457204,1309,2,13.52,0,0,2
3,1124,1,1465,1393076,1238,2,19.66,0,0,2
3,1124,1,1471,1943673,1220,2,15.28,0,0,2
3,1124,1,1482,2303630,31423,3,32.07,0,0,3
3,1124,1,1625,184006,35144,6,123,0,0,6
3,1124,1,1631,181702,4259,2,25.18,0,0,2
3,1126,1,1015,4441968,1146,1,21.39,0,0,1
3,1126,1,1027,1670456,3631,1,16.35,0,0,1
3,1126,1,1207,1021990,1250,3,22.92,0,0,3
3,1126,1,1224,4503542,1242,2,15.28,0,0,2
3,1126,1,1408,1811227,972,4,75.92,0,0,4
3,1126,1,1433,1266591,1238,3,29.49,1,9.83,2
3,1126,1,1438,4616155,1250,4,30.56,0,0,4
3,1127,1,1006,888165,2233,2,39.88,0,0,2
3,1127,1,1026,900633,1109,2,30.02,0,0,2
3,1127,1,1203,2287564,1278,44,198,0,0,44
3,1127,1,1401,4511181,1212,2,16.76,0,0,2
3,1127,1,1405,2176610,1242,6,45.84,0,0,6
3,1127,1,1408,4253581,1242,5,38.2,0,0,5
3,1127,1,1415,553925,1220,3,22.92,0,0,3
3,1127,1,1421,2466811,1242,2,15.28,0,0,2
3,1127,1,1422,352929,1240,4,33.52,0,0,4
3,1127,1,4453,684228,35516,6,32.76,0,0,6
3,1130,1,1004,977022,1129,2,35.2,0,0,2
3,1130,1,1022,472022,2233,17,338.98,0,0,17
3,1130,1,1203,4331788,1232,4,72.96,0,0,4
3,1130,1,1402,1176164,35651,5,37.5,0,0,5
3,1130,1,1406,230169,1232,3,54.72,0,0,3
3,1130,1,1607,322254,3609,3,26.94,0,0,3
3,1130,1,1607,2411578,45143,40,30,0,0,40
3,1130,1,2105,324426,43033,4,24.6,0,0,4
3,1130,1,2115,4540600,30532,8,62.24,0,0,8
3,1130,1,2803,400043,43084,2,16.3,0,0,2
3,1137,1,1054,216282,2233,1,19.94,0,0,1
3,1137,1,1063,433694,48077,3,42.78,0,0,3
3,1137,1,1067,226376,693,2,19.2,0,0,2
3,1137,1,1456,1480783,1240,3,25.14,0,0,3
3,1137,1,1477,314260,1309,3,20.28,0,0,3
3,1137,1,2125,259663,31310,2,12.5,0,0,2
3,1138,1,1018,849271,1129,2,35.2,0,0,2
3,1138,1,1026,2015209,693,4,38.4,0,0,4
3,1138,1,1031,162520,1146,7,149.73,0,0,7
3,1138,1,1036,692719,2665,6,96,0,0,6
3,1138,1,1038,399431,1146,2,42.78,0,0,2
3,1138,1,1201,2249604,41938,1,9.91,0,0,1
3,1138,1,1213,425148,1216,1,8.38,0,0,1
3,1138,1,1417,194603,1240,2,16.76,0,0,2
3,1138,1,1426,1116456,1220,5,38.2,0,0,5
3,1138,1,1426,2310945,48417,10,45.8,0,0,10
3,1138,1,1432,1681261,1250,18,137.52,0,0,18
3,1138,1,1440,456423,1232,2,36.48,0,0,2
3,1138,1,2102,668451,30572,10,62.5,0,0,10
3,1138,1,2105,195505,30532,5,38.9,0,0,5
3,1138,1,4402,165774,43285,10,52.8,0,0,10
3,1139,7,3316,1497900,34053,9,40.5,0,0,9
3,1140,1,1217,628845,46772,12,107.04,0,0,12
3,1140,1,1219,353184,1109,15,225.15,0,0,15
3,1140,1,1220,325173,1240,1,8.38,0,0,1
3,1140,1,1222,4194594,1284,10,30.2,0,0,10
3,1140,1,1225,4430387,1109,1,15.01,0,0,1
3,1140,1,1406,2139312,1230,3,50.01,0,0,3
3,1140,1,1409,441930,1242,11,84.04,0,0,11
3,1140,1,1416,317190,1064,3,50.01,0,0,3
3,1140,1,2841,2302496,36748,1,11.53,0,0,1
3,1140,1,4435,597696,35107,1,5.46,0,0,1
3,1140,1,4441,327127,43069,2,14.82,0,0,2
3,1143,6,3223,21473,5380,5,37.05,0,0,5
3,1146,4,1853,4247011,6505,8,110.24,0,0,8
3,1147,4,6609,1135778,1216,4,33.8,0,0,4
3,1150,4,6616,22799,40447,48,518.4,0,0,48
3,1150,4,6637,558033,48076,4,45,0,0,4
3,1152,4,1853,23770,6505,3,42.6,0,0,3
3,1153,1,1014,278567,35727,3,28.8,0,0,3
3,1153,1,1201,361382,46772,9,80.28,0,0,9
3,1153,1,1223,108697,1242,4,30.56,1,7.64,3
3,1153,1,1232,2286483,1284,10,30.2,0,0,10
3,1153,1,1239,334159,35651,5,37.5,0,0,5
3,1153,1,1239,2225900,1129,1,17.6,0,0,1
3,1153,1,1401,622516,31423,1,10.69,0,0,1
3,1153,1,2128,2177011,36746,2,23.06,0,0,2
3,1153,1,2129,559636,31588,1,11.53,0,0,1
3,1153,1,2826,2121828,30532,6,46.68,0,0,6
3,1153,1,2831,2040710,30555,3,16.14,0,0,3
3,1153,1,2835,1082467,43285,10,52.8,0,0,10
3,1153,1,4429,979950,43065,2,13.52,0,0,2
3,1156,4,1854,2463280,6505,3,41.34,0,0,3
3,1167,2,7066,1410728,37000,64,743.68,0,0,64
3,1168,2,43,1999609,34328,20,318.4,0,0,20
3,1168,2,93,2154841,43256,6,251.34,0,0,6
3,1172,4,6601,145939,2025,9,162.36,0,0,9
3,1172,4,6601,1396937,1232,1,18.75,0,0,1
3,1211,7,3314,21074,30574,30,187.5,0,0,30
3,1211,7,3326,58467,31309,85,531.25,0,0,85
3,1212,1,1018,176782,32802,3,35.73,0,0,3
3,1212,1,1025,1283835,1125,5,48,0,0,5
3,1212,1,1029,213756,46772,42,374.64,0,0,42
3,1212,1,1418,174373,1278,15,67.5,0,0,15
3,1212,1,1430,331314,1212,2,16.76,0,0,2
3,1212,1,1621,174464,9217,7,63,0,0,7
3,1212,1,2104,587834,31507,4,25,0,0,4
3,1212,1,2112,4201648,35841,5,34.6,0,0,5
3,1212,1,4408,176346,43069,8,59.28,0,0,8
3,1213,1,1003,856034,2233,1,19.94,0,0,1
3,1213,1,1035,4333574,1182,5,69.7,0,0,5
3,1213,1,1205,2114948,1238,2,19.66,0,0,2
3,1213,1,1226,431975,1240,1,8.38,0,0,1
3,1213,1,1418,1286447,1278,8,36,0,0,8
3,1213,1,1434,2472136,3270,1,10.47,0,0,1
3,1213,1,1601,792008,31719,0,0,1,7.59,0
3,1215,1,1005,4124515,693,1,9.6,0,0,1
3,1215,1,4408,371014,43084,2,16.3,0,0,2
3,1216,1,1621,73278,323,4,32.6,0,0,4
3,1216,1,1624,73265,328,1,8.15,0,0,1
3,1216,1,1624,1587920,35141,2,41,0,0,2
3,1216,1,2107,1888118,32937,3,21.12,0,0,3
3,1216,1,2108,600279,43058,11,102.85,0,0,11
3,1216,1,4406,748932,43285,25,132,0,0,25
3,1217,1,1020,880869,1150,2,27.92,0,0,2
3,1217,1,1402,82694,1687,2,37.96,0,0,2
3,1217,1,1626,4628052,36920,3,28.8,0,0,3
3,1217,1,4402,82488,43067,6,57.78,0,0,6
3,1218,1,1004,429398,1146,2,42.78,0,0,2
3,1218,1,1006,18449,1146,2,42.78,0,0,2
3,1218,1,1212,2230755,1216,3,25.14,2,16.76,1
3,1218,1,1402,24260,1230,3,50.01,0,0,3
3,1218,1,1405,16262,1250,41,313.24,0,0,41
3,1218,1,1604,16215,72,12,44.4,0,0,12
3,1218,1,2107,2451664,31310,10,62.5,0,0,10
3,1218,1,2813,17844,37058,10,75,0,0,10
3,1218,1,4404,17061,37058,18,135,0,0,18
3,1219,1,1015,1575495,1146,3,64.17,0,0,3
3,1219,1,1106,354049,1284,15,45.3,0,0,15
3,1219,1,1112,4508453,1284,20,60.4,0,0,20
3,1219,1,1119,1267549,1250,7,53.48,0,0,7
3,1219,1,1127,1460936,1212,1,8.38,0,0,1
3,1219,1,2102,345074,30572,5,31.25,0,0,5
3,1219,1,2105,324889,36748,2,23.06,0,0,2
3,1219,1,4421,498213,40886,4,23.04,0,0,4
3,1219,1,4433,1461577,43285,12,63.36,0,0,12
3,1219,1,4478,9684119,43084,1,8.15,0,0,1
3,1220,1,1010,4544398,1160,1,18.86,0,0,1
3,1220,1,1017,699230,1125,20,192,0,0,20
3,1220,1,1023,4363753,2233,17,338.98,0,0,17
3,1220,1,1217,413758,1284,5,15.1,0,0,5
3,1220,1,1237,634088,35651,3,22.5,0,0,3
3,1220,1,1239,697034,1238,6,58.98,0,0,6
3,1220,1,1246,4612571,2233,2,39.88,0,0,2
3,1220,1,1406,1280815,1309,2,13.52,0,0,2
3,1220,1,1410,1598217,1232,3,54.72,0,0,3
3,1220,1,1612,415521,9217,5,45,0,0,5
3,1220,1,1622,4534483,31298,11,97.79,0,0,11
3,1220,1,2815,4682602,43285,6,31.68,0,0,6
3,1221,1,2104,411447,30532,22,171.16,0,0,22
3,1221,1,4401,57546,43065,3,20.28,0,0,3
3,1221,1,4409,467089,43068,7,26.88,0,0,7
3,1221,1,4411,53211,35119,1,13.24,0,0,1
3,1222,1,1001,51324,1150,1,13.96,0,0,1
3,1222,1,1004,43635,1182,5,69.7,0,0,5
3,1222,1,1007,55272,3631,3,49.05,0,0,3
3,1222,1,1205,1392579,1250,4,30.56,0,0,4
3,1222,1,1409,418503,1212,10,83.8,0,0,10
3,1222,1,1410,2395443,1278,4,18,0,0,4
3,1222,1,1418,55023,972,5,94.9,0,0,5
3,1222,1,1421,41617,1687,2,37.96,0,0,2
3,1222,1,1422,43503,1240,10,83.8,0,0,10
3,1222,1,1623,54682,35452,5,22.2,0,0,5
3,1222,1,2150,1170999,36747,1,11.53,0,0,1
3,1222,1,2154,4596783,31507,2,12.5,0,0,2
3,1222,1,4443,709292,43069,4,29.64,0,0,4
3,1222,1,4450,1018216,32873,4,25,0,0,4
3,1223,1,1006,167540,1146,9,192.51,0,0,9
3,1223,1,1007,493582,2233,3,59.82,0,0,3
3,1223,1,1009,1967216,1125,10,96,0,0,10
3,1223,1,1030,4185051,1125,2,19.2,0,0,2
3,1223,1,1202,4698927,1284,12,36.24,0,0,12
3,1223,1,1214,112212,1220,2,15.28,0,0,2
3,1223,1,1216,1758279,1230,1,16.67,0,0,1
3,1223,1,1222,4488610,41938,4,39.64,0,0,4
3,1223,1,1422,166540,1232,3,54.72,0,0,3
3,1223,1,1428,4542879,1278,8,36,0,0,8
3,1223,1,4454,393701,43285,6,31.68,0,0,6
3,1223,1,4457,1776700,43069,4,29.64,0,0,4
3,1223,1,4467,4291737,43069,1,7.41,0,0,1
3,1224,1,1613,738684,323,1,8.15,0,0,1
3,1224,1,1616,2291482,31719,2,15.18,2,15.18,0
3,1224,1,1621,2259074,323,4,32.6,0,0,4
3,1224,1,1625,940147,35452,3,13.32,0,0,3
3,1224,1,2170,72137,31584,1,11.53,0,0,1
3,1227,1,1016,2285200,1146,5,106.95,0,0,5
3,1227,1,1027,30484,2233,2,39.88,0,0,2
3,1227,1,1250,4163815,1230,2,33.34,0,0,2
3,1227,1,1255,5114,1242,2,15.28,0,0,2
3,1227,1,1255,1107158,41938,4,39.64,0,0,4
3,1227,1,1259,581472,1232,2,36.48,0,0,2
3,1227,1,1264,1041109,1278,8,36,0,0,8
3,1227,1,1268,1736691,35651,2,15,0,0,2
3,1227,1,2826,4385986,40886,8,46.08,0,0,8
3,1227,1,2837,539007,37268,2,27.66,0,0,2
3,1232,1,1010,477437,3144,2,42.64,0,0,2
3,1232,1,1018,1348564,2233,2,39.88,0,0,2
3,1232,1,1019,2328799,1150,7,97.72,0,0,7
3,1232,1,1104,478647,972,2,37.96,0,0,2
3,1232,1,1107,477928,1240,3,25.14,0,0,3
3,1232,1,1113,988893,1220,4,30.56,0,0,4
3,1232,1,1202,2240513,2425,6,27,0,0,6
3,1232,1,1214,2310317,1109,1,15.01,0,0,1
3,1232,1,1218,4365802,41938,5,49.55,0,0,5
3,1232,1,2007,240265,43215,3,30.42,0,0,3
3,1232,1,2014,2190915,43067,2,19.26,0,0,2
